,accuracy,macro_f1,roc_auc_ovr
fold1,0.9471389645776567,0.8653790970233299,0.9946033673806228
fold2,0.9427792915531336,0.8435055803904774,0.9938053447050977
fold3,0.950381679389313,0.8697499472932014,0.9950757138823781
fold4,0.9541984732824428,0.889962085228598,0.9955997992768992
fold5,0.9574700109051254,0.8920805348046846,0.9965928387053081
