,accuracy,macro_f1,roc_auc_ovr
fold1,0.929700272479564,0.8186057267146644,0.9889598699230276
fold2,0.9395095367847411,0.8370970124041085,0.9916209568963492
fold3,0.9400218102508179,0.8448593573066082,0.989676055274207
fold4,0.9471101417666303,0.8716448472867244,0.994774509279363
fold5,0.9498364231188658,0.8755168059169801,0.9942415551987746
