,accuracy,macro_f1,roc_auc_ovr
fold1,0.9838056680161943,0.9777375422719145,0.9993590570792205
fold2,1.0,1.0,1.0
fold3,0.9878048780487805,0.948434390027822,0.999885297085745
fold4,0.991869918699187,0.9360777626984955,0.9997611407367112
fold5,0.991869918699187,0.9678024330850905,0.999913777719368
